//Type,ID,Name,BasePrice,Quantity,SubclassAttribute
B,35217,Diet Soda Can,1.95,73,FALSE
E,12251,Electric Kettle,118.82,23,36
P,10481,Avocados Bag,5.76,51,6/21/2026
B,3074,Organic Green Tea,9.27,117,TRUE
P,31360,Romaine Lettuce,4.36,13,6/3/2026
P,68208,Organic Eggs,7.6,56,6/17/2026
B,211,Energy Drink,2.04,54,TRUE
P,99602,Organic Eggs,12.61,56,7/12/2026
B,87159,Energy Drink,5.35,90,FALSE
B,21561,Sparkling Water,7.25,70,FALSE
E,80292,Electric Kettle,114.52,18,6
B,72029,Classic Cola,7.24,82,FALSE
B,60183,Apple Juice,6.1,79,FALSE
P,87055,Romaine Lettuce,2.66,11,6/3/2026
B,2001,Organic Green Tea,4.22,78,TRUE
B,64416,Diet Soda Can,6.36,11,FALSE
B,6090,Diet Soda Can,5.71,46,TRUE
E,7155,Blender Pro,110.79,24,36
P,20865,Organic Eggs,12.64,28,6/8/2026
P,15207,Fresh Strawberries,5.09,57,7/11/2026
B,86316,Energy Drink,7.28,59,FALSE
E,79701,Coffee Maker,84.14,24,36
P,1112,Organic Eggs,7.16,14,7/15/2026
E,80694,Electric Kettle,99.32,17,36
P,79104,Avocados Bag,8.79,60,6/15/2026
B,4328,Classic Cola,2.45,74,TRUE
P,22125,Fresh Strawberries,9.66,19,6/11/2026
P,29785,Baby Spinach,8.61,34,6/26/2026
P,58291,Baby Spinach,3.75,29,6/7/2026
P,29657,Romaine Lettuce,5.76,51,7/16/2026
B,81145,Organic Green Tea,5.08,70,FALSE
B,670,Classic Cola,7.87,25,FALSE
B,13731,Energy Drink,4.44,111,FALSE
B,92640,Classic Cola,8.49,81,FALSE
E,82962,Coffee Maker,34.95,17,12
P,40086,Romaine Lettuce,12.41,16,6/2/2026
P,11910,Organic Eggs,9.97,11,6/12/2026
E,48241,Mini Rice Cooker,23.64,8,36
B,51780,Apple Juice,6.93,75,FALSE
P,5620,Whole Milk,14.39,36,6/25/2026
E,87286,Coffee Maker,105.7,15,12
B,12963,Organic Green Tea,7.46,103,TRUE
B,17167,Organic Green Tea,5.42,82,FALSE
B,43928,Organic Green Tea,7.13,79,TRUE
P,4791,Whole Milk,10.59,37,6/21/2026
E,84102,Electric Kettle,25.49,16,36
P,7416,Fresh Strawberries,8.42,17,6/24/2026
P,18862,Fresh Strawberries,3.2,35,6/6/2026
P,53574,Whole Milk,8.9,26,6/30/2026
B,75770,Diet Soda Can,7.0,27,FALSE
P,46454,Romaine Lettuce,3.58,43,7/7/2026
E,78084,Coffee Maker,63.13,14,6
P,90209,Whole Milk,14.8,47,6/4/2026
P,85915,Whole Milk,5.24,20,6/22/2026
E,67377,Blender Pro,70.51,25,12
E,23150,Electric Mixer,113.99,5,36
E,15140,Toaster Oven,117.95,23,12
B,96277,Apple Juice,1.29,56,TRUE
P,30568,Baby Spinach,7.33,30,6/18/2026
E,3053,Electric Kettle,113.99,8,6
P,8252,Romaine Lettuce,5.35,9,7/3/2026
B,36101,Organic Green Tea,1.08,87,FALSE
B,56055,Apple Juice,2.01,120,FALSE
B,94622,Diet Soda Can,6.05,60,TRUE
B,72905,Classic Cola,8.67,78,TRUE
E,29790,Electric Mixer,56.31,16,6
E,55461,Coffee Maker,109.33,14,12
B,71580,Energy Drink,6.57,79,FALSE
E,53131,Electric Mixer,87.86,13,36
B,33709,Diet Soda Can,2.3,114,TRUE
B,19546,Energy Drink,4.0,31,FALSE
E,81056,Electric Mixer,28.01,11,36
E,74011,Toaster Oven,54.96,6,12
B,53596,Energy Drink,5.94,90,TRUE
B,6426,Diet Soda Can,1.58,67,FALSE
P,27027,Romaine Lettuce,13.26,6,7/10/2026
E,18961,Electric Kettle,84.2,23,12
P,60629,Avocados Bag,7.8,31,6/7/2026
E,2295,Coffee Maker,29.81,4,12
P,89374,Avocados Bag,5.27,10,6/16/2026
B,21109,Energy Drink,9.35,45,FALSE
P,9788,Baby Spinach,10.09,30,6/27/2026
B,40783,Classic Cola,3.34,65,TRUE
E,46180,Electric Kettle,75.61,18,6
P,43930,Avocados Bag,3.81,28,7/15/2026
E,56394,Toaster Oven,116.03,6,12
P,63150,Organic Eggs,4.72,60,6/27/2026
E,61179,Blender Pro,116.17,14,6
E,92844,Toaster Oven,74.87,3,12
B,87306,Sparkling Water,1.87,86,FALSE
P,56932,Romaine Lettuce,7.87,40,6/1/2026
B,97871,Sparkling Water,7.05,106,FALSE
P,8625,Whole Milk,5.95,25,6/28/2026
B,34356,Classic Cola,3.92,79,TRUE
P,10247,Avocados Bag,13.44,60,7/16/2026
E,30303,Blender Pro,19.95,6,6
E,90763,Coffee Maker,74.04,4,6
P,78919,Organic Eggs,3.25,10,6/28/2026
E,54154,Blender Pro,29.67,21,12
P,94523,Organic Eggs,4.04,36,6/1/2026
E,87284,Coffee Maker,111.85,2,36
P,65215,Fresh Strawberries,3.1,23,6/21/2026
P,69151,Fresh Strawberries,5.91,18,6/3/2026
P,49220,Whole Milk,3.4,13,6/27/2026
E,24355,Mini Rice Cooker,23.78,3,12
P,83286,Baby Spinach,2.9,10,6/3/2026
P,82700,Romaine Lettuce,7.61,46,6/14/2026
P,19529,Baby Spinach,10.3,12,6/13/2026
P,13998,Avocados Bag,8.26,17,6/23/2026
P,74880,Avocados Bag,3.81,52,7/8/2026
P,35780,Avocados Bag,8.8,36,7/11/2026
E,28038,Mini Rice Cooker,61.2,23,36
B,13633,Sparkling Water,4.46,74,FALSE
P,69025,Baby Spinach,6.65,26,7/8/2026
E,22480,Blender Pro,24.31,22,6
B,79235,Energy Drink,1.08,93,FALSE
E,6386,Mini Rice Cooker,59.75,10,6
B,42011,Classic Cola,6.12,101,FALSE
B,72616,Organic Green Tea,7.57,102,TRUE
P,69015,Romaine Lettuce,4.48,20,7/14/2026
E,47747,Blender Pro,66.74,8,36
E,54937,Coffee Maker,42.18,15,12
P,68284,Whole Milk,5.42,24,7/10/2026
E,30664,Mini Rice Cooker,68.82,13,12
P,29042,Baby Spinach,10.85,22,6/23/2026
P,33213,Romaine Lettuce,3.51,11,6/20/2026
E,73834,Mini Rice Cooker,113.17,25,12
E,79845,Mini Rice Cooker,94.31,14,12
B,49879,Energy Drink,9.17,54,TRUE
P,65380,Romaine Lettuce,3.86,34,7/4/2026
B,27363,Apple Juice,5.99,103,TRUE
P,8007,Fresh Strawberries,7.37,5,7/12/2026
P,16467,Fresh Strawberries,4.66,18,6/8/2026
P,49002,Avocados Bag,8.6,28,6/11/2026
B,77287,Classic Cola,8.38,74,FALSE
P,88583,Organic Eggs,9.97,15,7/13/2026
E,92909,Mini Rice Cooker,30.55,15,36
B,85473,Classic Cola,7.05,50,TRUE
E,56325,Electric Mixer,89.05,15,6
E,25474,Electric Kettle,39.3,24,12
P,93533,Organic Eggs,14.78,14,6/26/2026
P,57136,Romaine Lettuce,12.65,56,6/6/2026
B,53361,Sparkling Water,8.45,48,TRUE
E,58834,Electric Kettle,87.21,24,12
E,7538,Electric Kettle,77.24,22,36
E,93371,Mini Rice Cooker,104.73,3,6
P,54198,Organic Eggs,3.43,7,6/2/2026
B,77517,Organic Green Tea,3.0,20,FALSE
E,25831,Toaster Oven,73.47,6,6
B,14464,Apple Juice,6.45,16,FALSE
E,71777,Toaster Oven,101.86,17,36
E,85572,Electric Mixer,21.66,18,6
B,81682,Sparkling Water,1.45,69,TRUE
P,25645,Fresh Strawberries,5.66,60,6/2/2026
E,75494,Mini Rice Cooker,110.9,16,6
B,95729,Organic Green Tea,9.75,27,TRUE
B,24480,Organic Green Tea,2.84,120,FALSE
B,83227,Classic Cola,6.26,67,TRUE
B,20132,Organic Green Tea,2.83,42,FALSE
P,64264,Fresh Strawberries,13.55,31,7/2/2026
B,27840,Apple Juice,8.86,95,TRUE
B,62991,Organic Green Tea,5.73,98,TRUE
E,41923,Mini Rice Cooker,100.03,10,36
E,3280,Blender Pro,104.93,2,6
B,66675,Diet Soda Can,5.5,25,FALSE
P,28813,Avocados Bag,8.65,11,6/16/2026
B,64720,Apple Juice,6.76,76,TRUE
E,51034,Electric Kettle,43.35,23,6
B,28445,Energy Drink,1.61,13,TRUE
P,14669,Fresh Strawberries,8.89,26,7/11/2026
P,88304,Avocados Bag,5.98,10,6/30/2026
B,89656,Apple Juice,3.24,89,TRUE
P,5193,Whole Milk,5.85,39,6/19/2026
P,83495,Organic Eggs,14.33,37,6/22/2026
P,43151,Baby Spinach,4.93,58,7/7/2026
B,53119,Classic Cola,6.73,63,FALSE
B,48552,Sparkling Water,4.53,77,TRUE
E,43865,Blender Pro,25.27,18,36
P,31387,Organic Eggs,8.34,38,6/24/2026
P,21348,Fresh Strawberries,4.3,34,6/13/2026
E,34423,Toaster Oven,27.44,12,6
P,85413,Avocados Bag,6.74,38,6/23/2026
E,55679,Blender Pro,64.08,7,6
P,86799,Organic Eggs,14.52,39,6/26/2026
P,46340,Organic Eggs,7.93,21,7/6/2026
P,35862,Avocados Bag,7.57,36,7/13/2026
E,95470,Coffee Maker,18.12,2,6
E,9991,Electric Mixer,40.75,24,36
E,43158,Electric Kettle,32.76,22,36
P,38248,Fresh Strawberries,7.55,27,6/13/2026
E,24720,Blender Pro,93.39,23,36
E,24814,Toaster Oven,59.14,15,12
B,27476,Classic Cola,9.91,116,FALSE
E,55882,Mini Rice Cooker,58.24,8,36
B,20242,Organic Green Tea,7.39,42,FALSE
E,73409,Toaster Oven,34.87,20,6
P,59381,Organic Eggs,3.43,28,6/6/2026
E,34755,Coffee Maker,30.9,11,12
E,59735,Toaster Oven,99.26,2,12
B,6050,Classic Cola,9.6,58,FALSE
B,319,Apple Juice,9.12,41,FALSE
B,74938,Classic Cola,3.02,36,FALSE
E,62646,Electric Mixer,15.98,13,36
P,5885,Baby Spinach,11.71,15,7/9/2026
P,50224,Romaine Lettuce,4.95,38,7/2/2026
B,90039,Classic Cola,1.54,10,FALSE
E,85028,Electric Mixer,21.76,19,36
E,94355,Toaster Oven,82.2,22,6
B,69526,Apple Juice,8.1,116,FALSE
B,47541,Sparkling Water,7.0,86,TRUE
E,60896,Blender Pro,61.59,20,6
B,76553,Sparkling Water,9.34,83,FALSE
P,87319,Romaine Lettuce,14.96,58,6/22/2026
P,69734,Whole Milk,13.39,21,7/6/2026
E,88342,Mini Rice Cooker,37.48,13,6
B,50271,Sparkling Water,8.15,120,FALSE
B,60652,Classic Cola,5.41,88,FALSE
B,77589,Apple Juice,6.24,52,FALSE
P,94366,Whole Milk,10.9,26,7/10/2026
B,33688,Energy Drink,5.09,118,TRUE
B,33899,Classic Cola,7.98,16,FALSE
B,22919,Diet Soda Can,8.33,95,FALSE
E,44700,Electric Mixer,43.45,24,36
P,39137,Organic Eggs,11.34,20,6/9/2026
E,31139,Electric Kettle,20.5,24,12
P,14762,Romaine Lettuce,11.18,54,6/22/2026
B,6542,Classic Cola,6.42,10,FALSE
E,32004,Electric Mixer,44.89,9,12
B,6492,Apple Juice,8.74,57,TRUE
B,3177,Organic Green Tea,9.74,102,TRUE
E,65604,Mini Rice Cooker,51.14,16,12
E,17038,Blender Pro,47.65,21,36
E,49312,Electric Kettle,96.65,25,36
E,20008,Electric Kettle,55.72,20,12
B,23553,Energy Drink,8.86,79,TRUE
E,53132,Blender Pro,51.16,12,6
E,64084,Mini Rice Cooker,104.76,25,6
B,23677,Apple Juice,2.96,80,FALSE
E,35607,Electric Kettle,71.11,25,36
B,60384,Energy Drink,9.03,19,TRUE
E,75392,Mini Rice Cooker,17.45,18,6
P,68857,Organic Eggs,9.29,37,6/7/2026
E,82555,Blender Pro,108.85,22,6
E,16098,Toaster Oven,117.49,7,6
E,29892,Mini Rice Cooker,105.66,12,36
B,79654,Organic Green Tea,2.8,71,TRUE
P,44616,Organic Eggs,10.55,5,7/13/2026
E,98097,Coffee Maker,105.72,20,36
E,87255,Toaster Oven,110.68,15,6
B,92073,Organic Green Tea,7.98,13,FALSE
E,81813,Blender Pro,111.03,18,12
B,85603,Apple Juice,3.83,94,FALSE
B,73675,Sparkling Water,2.68,13,TRUE
B,97976,Sparkling Water,7.82,113,FALSE
P,90938,Romaine Lettuce,14.53,58,6/13/2026
B,55541,Classic Cola,3.05,14,TRUE
E,4583,Electric Mixer,48.61,11,12
P,35351,Fresh Strawberries,6.84,26,6/29/2026
E,28199,Mini Rice Cooker,103.82,19,6
E,95328,Electric Mixer,32.15,14,6
B,94762,Sparkling Water,7.97,21,TRUE
B,31785,Sparkling Water,8.09,114,TRUE
P,43937,Fresh Strawberries,9.4,24,6/11/2026
E,90362,Toaster Oven,105.68,6,12
E,83950,Coffee Maker,64.97,19,36
P,76843,Romaine Lettuce,8.91,6,6/24/2026
E,90103,Electric Mixer,76.86,11,6
B,4752,Energy Drink,6.81,49,FALSE
P,60434,Avocados Bag,14.89,27,6/22/2026
P,22838,Romaine Lettuce,8.75,12,6/21/2026
P,57391,Fresh Strawberries,5.4,37,6/8/2026
B,58940,Energy Drink,2.88,43,TRUE
B,72289,Organic Green Tea,2.91,46,FALSE
B,60407,Classic Cola,7.62,92,TRUE
E,5108,Mini Rice Cooker,27.35,8,12
P,50554,Romaine Lettuce,12.53,37,6/4/2026
P,2474,Whole Milk,2.72,54,6/15/2026
E,100075,Mini Rice Cooker,33.74,16,12
E,12152,Coffee Maker,93.86,21,12
E,32262,Electric Kettle,28.54,11,36
B,553,Classic Cola,3.17,79,TRUE
P,40225,Organic Eggs,4.4,38,7/6/2026
B,52624,Organic Green Tea,1.14,25,TRUE
B,57009,Energy Drink,8.28,104,TRUE
P,88147,Whole Milk,7.61,10,7/13/2026
B,19088,Energy Drink,3.52,89,FALSE
E,40330,Mini Rice Cooker,39.98,20,6
P,6674,Fresh Strawberries,8.45,55,6/25/2026
B,58889,Sparkling Water,4.95,50,FALSE
E,32142,Electric Mixer,46.29,17,12
E,11650,Mini Rice Cooker,118.39,15,36
E,32685,Mini Rice Cooker,50.88,20,6
P,51206,Organic Eggs,7.36,44,6/4/2026
P,75706,Avocados Bag,12.95,57,7/1/2026
P,35449,Fresh Strawberries,12.18,52,6/10/2026
B,55825,Classic Cola,1.59,21,FALSE
E,20214,Mini Rice Cooker,92.82,16,6
P,41278,Baby Spinach,14.92,57,6/14/2026
E,77898,Electric Mixer,41.95,10,36
P,21228,Whole Milk,8.85,17,7/9/2026
B,47620,Energy Drink,6.7,69,TRUE
E,92808,Mini Rice Cooker,64.76,25,6
B,83970,Organic Green Tea,6.03,17,TRUE
B,20987,Organic Green Tea,1.15,61,FALSE
P,11802,Fresh Strawberries,9.06,38,6/13/2026
B,28479,Energy Drink,5.19,108,FALSE
B,54675,Organic Green Tea,1.95,55,TRUE
P,55641,Fresh Strawberries,10.25,34,6/13/2026
B,26910,Energy Drink,5.14,92,FALSE
E,66204,Coffee Maker,44.03,16,6
E,39542,Electric Kettle,74.45,22,36
B,56675,Classic Cola,1.94,27,TRUE
P,81014,Romaine Lettuce,7.66,49,7/6/2026
P,83428,Organic Eggs,7.41,41,6/9/2026
E,73972,Electric Mixer,115.79,19,12
B,60112,Diet Soda Can,1.15,83,TRUE
E,1067,Mini Rice Cooker,104.34,17,36
P,96028,Baby Spinach,5.31,15,6/2/2026
P,79626,Organic Eggs,3.02,16,6/21/2026
E,56411,Toaster Oven,115.55,2,6
B,11779,Sparkling Water,2.0,35,FALSE
P,27131,Baby Spinach,3.97,8,6/18/2026
E,58393,Blender Pro,115.84,9,36
B,47623,Diet Soda Can,6.27,42,TRUE
E,46139,Electric Kettle,36.12,5,36
P,87754,Fresh Strawberries,9.79,59,7/2/2026
E,58067,Toaster Oven,110.98,25,6
E,36105,Electric Kettle,57.92,18,6
P,5248,Baby Spinach,9.83,56,6/25/2026
P,72455,Baby Spinach,3.93,49,6/13/2026
P,42637,Avocados Bag,4.52,31,7/13/2026
E,49178,Electric Mixer,70.68,12,12
B,75026,Apple Juice,5.02,99,TRUE
E,79109,Blender Pro,35.24,10,36
P,21021,Romaine Lettuce,12.92,35,7/11/2026
E,74084,Mini Rice Cooker,56.05,9,36
B,8778,Diet Soda Can,3.91,37,TRUE
P,55612,Organic Eggs,2.73,19,6/3/2026
B,50266,Diet Soda Can,6.85,94,FALSE
E,79427,Coffee Maker,66.42,16,36
P,68413,Baby Spinach,5.86,13,6/9/2026
B,62094,Organic Green Tea,5.16,11,TRUE
P,59613,Romaine Lettuce,7.67,51,7/7/2026
P,50213,Avocados Bag,11.61,29,7/7/2026
B,44125,Organic Green Tea,1.38,98,FALSE
E,90875,Blender Pro,27.81,8,12
B,68058,Classic Cola,7.15,29,FALSE
P,55237,Avocados Bag,11.75,16,7/16/2026
P,40021,Romaine Lettuce,8.48,19,6/29/2026
P,20299,Whole Milk,13.33,55,6/12/2026
P,51349,Whole Milk,12.97,34,7/8/2026
P,36314,Avocados Bag,2.95,11,6/13/2026
P,60281,Baby Spinach,4.13,25,7/12/2026
P,44513,Organic Eggs,3.18,15,6/25/2026
P,14514,Fresh Strawberries,14.01,17,7/16/2026
B,40172,Apple Juice,4.3,51,TRUE
B,12015,Apple Juice,9.5,59,FALSE
P,26147,Whole Milk,10.16,25,6/29/2026
P,68438,Romaine Lettuce,6.04,14,6/11/2026
B,19838,Organic Green Tea,6.26,83,TRUE
P,80652,Whole Milk,9.06,57,6/19/2026
B,48840,Classic Cola,3.63,120,TRUE
P,40875,Fresh Strawberries,6.78,15,6/1/2026
B,73222,Classic Cola,2.34,51,TRUE
P,68481,Fresh Strawberries,7.79,7,7/9/2026
B,93137,Apple Juice,2.18,18,FALSE
B,12931,Classic Cola,2.7,107,FALSE
E,75046,Coffee Maker,67.95,16,12
E,77161,Coffee Maker,51.22,2,36
B,18675,Sparkling Water,5.89,20,FALSE
B,67340,Apple Juice,8.85,68,FALSE
E,4863,Blender Pro,46.73,9,12
E,79691,Electric Mixer,48.75,8,36
E,6573,Electric Kettle,42.2,17,12
P,36524,Organic Eggs,10.87,19,6/9/2026
P,12211,Organic Eggs,12.89,19,7/10/2026
P,48763,Organic Eggs,7.05,7,6/19/2026
E,9137,Electric Mixer,25.05,7,12
P,39898,Fresh Strawberries,7.19,46,6/29/2026
P,69990,Fresh Strawberries,5.14,53,6/10/2026
P,45175,Baby Spinach,10.84,55,7/9/2026
P,1861,Fresh Strawberries,5.83,18,6/25/2026
P,66808,Avocados Bag,4.8,14,7/14/2026
B,65626,Sparkling Water,2.44,74,TRUE
B,71864,Energy Drink,2.09,53,FALSE
B,81575,Energy Drink,8.43,55,FALSE
B,57953,Sparkling Water,6.43,49,FALSE
B,43446,Energy Drink,6.06,14,TRUE
E,14925,Coffee Maker,21.2,8,6
B,78053,Sparkling Water,6.37,98,FALSE
E,92327,Mini Rice Cooker,51.53,16,36
P,59212,Fresh Strawberries,14.17,39,6/17/2026
E,56530,Electric Kettle,45.18,14,6
B,49538,Energy Drink,7.64,84,TRUE
B,16401,Apple Juice,1.16,43,TRUE
B,53336,Sparkling Water,2.43,107,TRUE
E,53162,Electric Kettle,117.49,23,36
E,85192,Coffee Maker,94.31,5,12
P,44397,Avocados Bag,6.8,55,6/27/2026
E,31258,Coffee Maker,39.21,7,36
B,30688,Classic Cola,5.23,97,FALSE
E,8426,Coffee Maker,30.47,13,6
E,85654,Blender Pro,91.45,21,6
B,91440,Sparkling Water,8.32,72,FALSE
E,9405,Coffee Maker,56.0,24,6
P,39168,Organic Eggs,9.45,8,7/14/2026
B,94362,Classic Cola,1.32,16,FALSE
B,37974,Energy Drink,1.24,79,FALSE
P,74648,Whole Milk,8.1,22,7/14/2026
P,82588,Romaine Lettuce,10.63,8,6/14/2026
E,64232,Electric Mixer,60.54,5,12
E,95453,Mini Rice Cooker,74.42,23,12
E,16553,Mini Rice Cooker,117.77,25,6
E,58850,Blender Pro,66.46,17,12
B,50319,Classic Cola,4.38,48,TRUE
P,25493,Whole Milk,3.03,32,7/14/2026
E,92943,Coffee Maker,102.75,21,36
E,98380,Toaster Oven,107.44,10,6
E,15907,Electric Kettle,44.02,21,12
P,63373,Fresh Strawberries,11.61,16,7/2/2026
E,73117,Mini Rice Cooker,62.41,17,36
P,40860,Baby Spinach,14.24,27,6/20/2026
B,78750,Energy Drink,6.16,16,TRUE
P,84077,Avocados Bag,10.94,26,6/9/2026
E,64460,Coffee Maker,59.37,18,36
P,28209,Romaine Lettuce,6.35,19,6/14/2026
P,91341,Fresh Strawberries,12.98,31,6/29/2026
P,36507,Avocados Bag,11.04,48,6/25/2026
B,38356,Classic Cola,6.65,19,TRUE
E,26343,Electric Kettle,98.46,14,12
P,629,Fresh Strawberries,6.18,59,6/29/2026
E,82823,Electric Kettle,39.64,23,36
B,24300,Apple Juice,8.44,59,FALSE
E,84571,Toaster Oven,23.74,12,36
E,69805,Mini Rice Cooker,106.11,11,36
P,9009,Baby Spinach,9.39,6,7/1/2026
E,76794,Blender Pro,50.94,8,12
P,76550,Organic Eggs,9.5,12,7/5/2026
B,15141,Apple Juice,5.29,37,TRUE
B,59107,Energy Drink,4.32,40,TRUE
E,53782,Electric Mixer,117.39,6,36
E,76806,Electric Kettle,45.21,17,6
P,26410,Fresh Strawberries,10.54,12,7/12/2026
E,98191,Mini Rice Cooker,23.51,5,36
B,74315,Apple Juice,6.74,38,TRUE
E,10152,Mini Rice Cooker,97.53,3,36
P,96100,Organic Eggs,8.77,49,6/8/2026
B,37349,Diet Soda Can,7.08,68,FALSE
P,13008,Fresh Strawberries,11.21,21,6/28/2026
P,71222,Avocados Bag,6.15,50,6/19/2026
E,19201,Electric Mixer,19.15,9,12
E,30694,Mini Rice Cooker,119.9,21,36
P,30825,Romaine Lettuce,9.04,29,7/3/2026
B,90561,Apple Juice,7.44,83,TRUE
E,61693,Mini Rice Cooker,30.29,5,6
E,93961,Blender Pro,16.28,2,36
B,4270,Sparkling Water,3.97,64,TRUE
E,15087,Electric Mixer,91.39,4,6
P,23254,Fresh Strawberries,13.7,11,6/6/2026
B,70011,Organic Green Tea,3.92,82,TRUE
P,62642,Whole Milk,8.81,50,6/11/2026
B,12664,Diet Soda Can,5.99,55,FALSE
B,15547,Sparkling Water,8.58,43,FALSE
E,46651,Coffee Maker,112.06,13,12
E,79530,Mini Rice Cooker,53.21,18,6
P,80230,Whole Milk,5.32,37,6/17/2026
E,93771,Electric Mixer,86.65,8,12
E,19971,Blender Pro,49.18,4,6
P,33603,Baby Spinach,13.82,5,6/12/2026
B,23917,Sparkling Water,4.36,47,FALSE
B,40772,Sparkling Water,1.12,48,FALSE
E,84630,Mini Rice Cooker,61.77,3,12
P,72740,Avocados Bag,10.33,48,7/9/2026
P,41897,Romaine Lettuce,3.98,39,6/5/2026
E,44978,Toaster Oven,118.12,12,36
E,12856,Blender Pro,106.75,16,6
E,69140,Toaster Oven,65.8,3,6
B,97546,Classic Cola,4.55,57,TRUE
B,91882,Energy Drink,3.46,49,FALSE
E,6043,Mini Rice Cooker,65.42,13,36
E,53455,Electric Kettle,16.14,21,12
P,75829,Whole Milk,12.03,15,6/2/2026
E,37419,Blender Pro,70.28,24,36
P,31917,Whole Milk,6.93,24,7/15/2026
E,55024,Electric Mixer,115.04,12,12
E,25150,Electric Kettle,23.34,19,36
P,83566,Organic Eggs,14.66,9,6/24/2026
E,35177,Electric Mixer,21.99,17,6
B,51214,Organic Green Tea,4.79,93,FALSE
P,7625,Fresh Strawberries,7.67,5,7/13/2026
E,4082,Electric Mixer,77.98,11,36
E,31668,Mini Rice Cooker,55.55,11,12
P,11631,Fresh Strawberries,14.65,39,7/11/2026
P,69703,Avocados Bag,5.77,13,6/9/2026
E,43133,Toaster Oven,24.75,24,36
P,23152,Whole Milk,13.41,46,6/18/2026
E,31394,Coffee Maker,41.47,19,36
E,62638,Toaster Oven,97.84,24,6
B,23977,Apple Juice,7.57,54,FALSE
P,24005,Fresh Strawberries,12.43,33,6/11/2026
E,47034,Toaster Oven,112.38,14,12
B,75788,Sparkling Water,3.2,115,FALSE
E,24602,Electric Kettle,86.06,10,6
E,69874,Blender Pro,118.83,10,12
B,3612,Energy Drink,7.08,14,FALSE
P,92933,Organic Eggs,5.57,30,6/4/2026
P,55489,Avocados Bag,11.74,17,6/18/2026
P,58885,Avocados Bag,4.04,54,6/3/2026
P,42357,Whole Milk,14.69,18,7/16/2026
P,72474,Baby Spinach,3.45,48,7/6/2026
E,67568,Mini Rice Cooker,82.81,19,36
E,77904,Mini Rice Cooker,83.49,11,6
P,76577,Romaine Lettuce,12.57,22,6/9/2026
P,50794,Baby Spinach,4.45,53,6/20/2026
P,38620,Romaine Lettuce,11.98,9,6/25/2026
B,57797,Apple Juice,7.59,24,TRUE
P,34617,Organic Eggs,12.65,44,6/30/2026
E,34338,Electric Kettle,94.7,2,36
P,37407,Romaine Lettuce,11.97,23,6/30/2026
B,91326,Classic Cola,4.38,77,FALSE
B,32516,Apple Juice,1.67,90,FALSE
E,45894,Mini Rice Cooker,92.35,11,36
E,36284,Toaster Oven,57.85,17,12
P,60980,Romaine Lettuce,10.89,51,6/13/2026
B,37063,Apple Juice,8.61,91,TRUE
P,20876,Organic Eggs,4.68,40,7/16/2026
P,94114,Baby Spinach,10.37,57,7/4/2026
B,17790,Apple Juice,1.2,109,FALSE
P,68692,Avocados Bag,3.4,36,6/4/2026
B,46956,Classic Cola,9.64,94,FALSE
E,21304,Electric Mixer,55.67,2,6
P,54610,Romaine Lettuce,5.03,25,7/7/2026
E,96417,Mini Rice Cooker,114.01,15,6
P,99946,Avocados Bag,5.61,40,7/8/2026
E,58598,Coffee Maker,107.06,8,12
